Clade	Lowest_taxonomic_level	Kingdom	Phylum	Class	Order	Family	Genus	Species
365	f__Pasteurellaceae	Family	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	NA	NA
366	s__Rothia_aeria	Species	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	Rothia aeria
367	s__Streptococcus_infantis	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus infantis
368	s__Lactobacillus_murinus	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus murinus
369	s__Lachnospiraceae_bacterium_9_1_43BFAA	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae bacterium 9 1 43BFAA
370	g__Pseudoflavonifractor	Genus	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_noname	Pseudoflavonifractor	NA
371	s__Clostridium_sp_ATCC_29733	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp ATCC 29733
372	s__Shigella_dysenteriae	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Shigella	Shigella dysenteriae
373	g__Dialister	Genus	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	NA
374	s__Prevotella_bryantii	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella bryantii
375	s__Prevotella_disiens	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella disiens
376	s__Lactobacillus_saerimneri	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus saerimneri
377	g__Roseburia	Genus	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	NA
378	g__Clostridiales_noname	Genus	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_noname	Clostridiales_noname	NA
379	s__Clostridium_bifermentans	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcaceae_noname	Clostridium bifermentans
380	s__Lactobacillus_vaginalis	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus vaginalis
381	s__Streptococcus_thoraltensis	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thoraltensis
382	s__Lactobacillus_parafarraginis	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus parafarraginis
383	s__Streptococcus_entericus	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus entericus
384	s__Bifidobacterium_angulatum	Species	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium angulatum
385	g__Corynebacterium	Genus	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	NA
386	s__Bacteroides_sp_D2	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp D2
387	s__Alistipes_onderdonkii	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes onderdonkii
388	s__Bacteroides_plebeius	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides plebeius
389	s__Megasphaera_genomosp_type_1	Species	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	Megasphaera genomosp type 1
390	s__Clostridium_sp_D5	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp D5
391	g__Riemerella	Genus	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	NA
392	s__Prevotella_buccalis	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella buccalis
393	c__Bacilli	Class	Bacteria	Firmicutes	Bacilli	NA	NA	NA	NA
394	s__Clostridium_sp_ASF356	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp ASF356
395	s__Helicobacter_canis	Species	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter canis
396	s__Veillonella_sp_ACP1	Species	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	Veillonella sp ACP1
397	s__Bacillus_sp_B14905	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp B14905
398	s__Granulicatella_elegans	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	Granulicatella elegans
399	s__Prevotella_nanceiensis	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella nanceiensis
400	s__Pasteurella_multocida	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida
401	f__Leuconostocaceae	Family	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	NA	NA
402	s__Cronobacter_condimenti	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Cronobacter	Cronobacter condimenti
403	s__Lactobacillus_reuteri	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
404	s__Cronobacter_malonaticus	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Cronobacter	Cronobacter malonaticus
405	s__Streptococcus_thermophilus	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus
406	s__Acinetobacter_baumannii	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
407	s__Enterococcus_gallinarum	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus gallinarum
408	f__Actinomycetaceae	Family	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	NA	NA
409	s__Enterococcus_asini	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus asini
410	s__Olsenella_uli	Species	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Olsenella	Olsenella uli
411	s__Clostridium_sp_SY8519	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp SY8519
412	s__Collinsella_intestinalis	Species	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella intestinalis
413	s__Bacteroides_coprophilus	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides coprophilus
414	s__Bacteroides_sp_HPS0048	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp HPS0048
415	s__Holdemania_filiformis	Species	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania filiformis
416	o__Coriobacteriales	Order	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	NA	NA	NA
417	g__Odoribacter	Genus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter	NA
418	s__Bacteroides_nordii	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides nordii
419	s__Barnesiella_intestinihominis	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Barnesiella	Barnesiella intestinihominis
420	g__Shigella	Genus	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Shigella	NA
421	s__Bacteroides_sp_D20	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp D20
422	s__Anaerotruncus_colihominis	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Anaerotruncus colihominis
423	k__Bacteria	Kingdom	Bacteria	NA	NA	NA	NA	NA	NA
424	s__Bacillus_subtilis	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
425	s__Bacteroides_barnesiae	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides barnesiae
426	s__Morganella_morganii	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Morganella	Morganella morganii
427	s__Enterococcus_gilvus	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus gilvus
428	s__Eubacterium_siraeum	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium siraeum
429	g__Acinetobacter	Genus	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA
430	s__Veillonella_sp_oral_taxon_158	Species	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	Veillonella sp oral taxon 158
431	g__Providencia	Genus	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Providencia	NA
432	s__Prevotella_sp_oral_taxon_317	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp oral taxon 317
433	g__Citrobacter	Genus	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	NA
434	s__Actinomyces_europaeus	Species	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces europaeus
435	s__Pectobacterium_wasabiae	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pectobacterium	Pectobacterium wasabiae
436	f__Neisseriaceae	Family	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	NA	NA
437	s__Clostridium_hiranonis	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcaceae_noname	Clostridium hiranonis
438	s__Parvimonas_micra	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Parvimonas	Parvimonas micra
439	g__Neisseria	Genus	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	NA
440	g__Coprobacillus	Genus	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	NA
441	s__Bacteroides_gallinarum	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides gallinarum
442	s__Parabacteroides_distasonis	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Parabacteroides distasonis
443	s__Acidaminococcus_intestini	Species	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus intestini
444	s__Eubacterium_limosum	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium limosum
445	s__Clostridium_leptum	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium leptum
446	s__Bacteroides_sp_2_1_33B	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp 2 1 33B
447	g__Streptomyces	Genus	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	NA
448	s__Neisseria_subflava	Species	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria subflava
449	s__Haemophilus_pittmaniae	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus pittmaniae
450	s__Firmicutes_bacterium_M10_2	Species	Bacteria	Firmicutes	Firmicutes_noname	Firmicutes_noname	Firmicutes_noname	Firmicutes_noname	Firmicutes bacterium M10 2
451	s__Eubacterium_brachy	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium brachy
452	s__Clostridium_saccharobutylicum	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium saccharobutylicum
453	s__Neisseria_flavescens	Species	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria flavescens
454	s__Megasphaera_sp_BV3C16_1	Species	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	Megasphaera sp BV3C16 1
455	p__Actinobacteria	Phylum	Bacteria	Actinobacteria	NA	NA	NA	NA	NA
456	s__Clostridiales_bacterium_BV3C26	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Clostridiales_Family_XI_Incertae_Sedis_noname	Clostridiales bacterium BV3C26
457	s__Lachnospiraceae_bacterium_5_1_57FAA	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae bacterium 5 1 57FAA
458	s__Escherichia_sp_3_2_53FAA	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia sp 3 2 53FAA
459	s__Bacteroides_oleiciplenus	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides oleiciplenus
460	s__Haemophilus_paraphrohaemolyticus	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus paraphrohaemolyticus
461	s__Shigella_boydii	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Shigella	Shigella boydii
462	s__Haemophilus_haemolyticus	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus haemolyticus
463	s__Solobacterium_moorei	Species	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	Solobacterium moorei
464	s__Enterobacter_sp_MGH_16	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter sp MGH 16
465	s__Haemophilus_sputorum	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus sputorum
466	g__Solobacterium	Genus	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	NA
467	s__Enterobacter_sp_SST3	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter sp SST3
468	s__Streptomyces_sp_S4	Species	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp S4
469	s__Lactobacillus_ingluviei	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus ingluviei
470	s__Bacteroides_sp_2_1_56FAA	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp 2 1 56FAA
471	c__Betaproteobacteria	Class	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	NA	NA
472	s__Acidaminococcus_sp_BV3L6	Species	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus sp BV3L6
473	s__Eubacterium_dolichum	Species	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_noname	Eubacterium dolichum
474	s__Lachnospiraceae_bacterium_2_1_46FAA	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae bacterium 2 1 46FAA
475	s__Prevotella_multiformis	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella multiformis
476	s__Lachnospiraceae_bacterium_3_1_57FAA_CT1	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae bacterium 3 1 57FAA CT1
477	f__Sutterellaceae	Family	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	NA	NA
478	s__Alistipes_sp_AP11	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp AP11
479	s__Lactobacillus_ultunensis	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus ultunensis
480	s__Clostridium_sp_KLE_1755	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp KLE 1755
481	o__Bacillales	Order	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	NA
482	g__Aggregatibacter	Genus	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	NA
483	g__Helicobacter	Genus	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	NA
484	s__Clostridium_sartagoforme	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sartagoforme
485	s__Clostridium_sp_7_2_43FAA	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp 7 2 43FAA
486	s__Clostridium_sordellii	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcaceae_noname	Clostridium sordellii
487	s__Marvinbryantia_formatexigens	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Marvinbryantia	Marvinbryantia formatexigens
488	s__Streptococcus_orisratti	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus orisratti
489	s__Clostridium_scindens	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium scindens
490	s__Peptoniphilus_sp_BV3AC2	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Peptoniphilus	Peptoniphilus sp BV3AC2
491	s__Bacteroides_sp_4_3_47FAA	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp 4 3 47FAA
492	s__Alistipes_putredinis	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes putredinis
493	s__Anaerostipes_caccae	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes caccae
494	s__Pyramidobacter_piscolens	Species	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Pyramidobacter	Pyramidobacter piscolens
495	s__Desulfovibrio_piger	Species	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio piger
496	s__Sutterella_parvirubra	Species	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella parvirubra
497	s__Bifidobacterium_thermophilum	Species	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium thermophilum
498	s__Clostridium_spiroforme	Species	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_noname	Clostridium spiroforme
499	s__Riemerella_anatipestifer	Species	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella anatipestifer
500	s__Shimwellia_blattae	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Shimwellia	Shimwellia blattae
501	f__Bacillaceae	Family	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	NA
502	s__Coprobacillus_sp_3_3_56FAA	Species	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	Coprobacillus sp 3 3 56FAA
503	s__Enterobacter_hormaechei	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter hormaechei
504	s__Paraprevotella_xylaniphila	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	Paraprevotella xylaniphila
505	s__Clostridium_botulinum	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
506	s__Anaerostipes_hadrus	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus
507	s__Desulfotomaculum_gibsoniae	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfotomaculum	Desulfotomaculum gibsoniae
508	s__Lactobacillus_amylolyticus	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus amylolyticus
509	s__Lactobacillus_helveticus	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus helveticus
510	s__Shigella_sonnei	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Shigella	Shigella sonnei
511	s__Escherichia_fergusonii	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia fergusonii
512	s__Lactobacillus_antri	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus antri
513	s__Cronobacter_sakazakii	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
514	g__Anaerococcus	Genus	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Anaerococcus	NA
515	s__Enterobacter_sp_MGH_8	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter sp MGH 8
516	s__Thauera_selenatis	Species	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Thauera	Thauera selenatis
517	s__Fusobacterium_periodonticum	Species	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium periodonticum
518	s__Coprococcus_sp_HPP0074	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus sp HPP0074
519	s__Enterobacter_sp_MGH_23	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter sp MGH 23
520	g__Porphyromonas	Genus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	NA
521	s__Bacteroides_salyersiae	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides salyersiae
522	s__Atopobium_parvulum	Species	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium parvulum
523	s__Neisseria_cinerea	Species	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria cinerea
524	s__Neisseria_lactamica	Species	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria lactamica
525	s__Streptococcus_sanguinis	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sanguinis
526	s__Clostridium_asparagiforme	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium asparagiforme
527	s__Prevotella_oulorum	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella oulorum
528	s__Johnsonella_ignava	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Johnsonella	Johnsonella ignava
529	f__Pseudomonadaceae	Family	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	NA	NA
530	s__Peptoniphilus_sp_ph5	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Peptoniphilus	Peptoniphilus sp ph5
531	s__Vibrio_parahaemolyticus	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
532	f__Micrococcaceae	Family	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	NA	NA
533	s__Pantoea_ananatis	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pantoea	Pantoea ananatis
534	s__Bulleidia_extructa	Species	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	Bulleidia extructa
535	s__Candida_tropicalis	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_noname	Candida	Candida tropicalis
536	s__Eggerthia_catenaformis	Species	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Eggerthia	Eggerthia catenaformis
537	s__Enterobacter_aerogenes	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter aerogenes
538	s__Listeria_monocytogenes	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
539	g__Cronobacter	Genus	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Cronobacter	NA
540	s__Eubacteriaceae_bacterium_ACC19a	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacteriaceae_noname	Eubacteriaceae bacterium ACC19a
541	s__Treponema_medium	Species	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema medium
542	s__Actinomyces_sp_ICM39	Species	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces sp ICM39
543	s__Lactobacillus_rhamnosus	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus rhamnosus
544	s__Bifidobacterium_asteroides	Species	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium asteroides
545	s__Jonquetella_sp_BV3C21	Species	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Jonquetella	Jonquetella sp BV3C21
